subject,modality,trial,signal,response,accuracy,confidence,rt,rt_conf,contrast,repeat_exclude
34,Calories,178,1,0,0,4,1.88034249353632,1.07110899999998,200,0
34,GDP,179,0,0,1,3,2.07201650000025,1.02184100000022,1.25,0
34,Calories,180,0,0,1,3,0.680149699999674,1.83981280000035,200,0
34,Calories,181,0,0,1,1,1.16447999999991,1.40357230000018,175,0
34,Calories,182,0,0,1,5,1.13763400064909,1.60584680000011,175,0
34,Calories,183,1,1,1,5,2.06910762075267,1.23876090000022,150,1
34,Calories,184,0,1,0,3,3.21330404706032,1.03915009999992,175,0
34,Calories,185,0,1,0,7,1.16970320000019,1.12024370000017,200,0
34,GDP,186,1,0,0,1,0.892122900000231,1.55377520000002,1.375,0
34,GDP,187,1,1,1,5,1.32486039999958,1.30582970000023,1.375,0
34,GDP,188,0,0,1,5,1.51287449999973,1.02049159999979,1.25,1
34,Calories,189,0,0,1,5,1.4397699000001,1.17064789999995,200,0
34,Calories,190,1,1,1,6,1.12500150000005,1.03731580000021,175,0
34,GDP,191,1,1,1,6,1.25092510000013,1.13907999999992,1.25,0
34,Calories,192,0,0,1,2,1.67303973439266,1.22098449999976,175,0
34,GDP,193,0,0,1,5,2.59439139999995,0.886774099999911,1.125,0
34,GDP,194,1,0,0,3,1.60786430000007,1.13919249999981,1.25,0
34,GDP,195,0,0,1,4,1.05786619999981,1.09166800000003,1.25,0
34,Calories,196,1,0,0,7,0.968217199999799,1.47259920000033,200,1
34,GDP,197,0,0,1,7,0.971664860051987,1.43864829999984,1.125,1
34,GDP,198,1,0,0,2,1.9543887003897,0.988479599999664,1.25,0
34,GDP,199,0,1,0,4,2.35514329999978,1.02363480000031,1.375,0
34,GDP,200,1,1,1,6,1.0773420999999,1.22012379999978,1.375,1
35,Calories,1,0,0,1,5,1.8664574000004,1.50591750000012,200,0
35,GDP,2,1,1,1,1,3.73118159999967,1.27126780000026,1,0
35,GDP,3,1,1,1,7,2.61225120000017,0.892122400000062,0.5,0
35,Calories,4,0,0,1,7,1.49065217148473,1.23718119999967,100,0
35,GDP,5,1,0,0,4,3.7964834554532,1.23765519999961,1,0
35,Calories,6,0,1,0,7,2.17355320000024,1.52185809999992,200,0
35,Calories,7,1,0,0,4,3.6450035629432,1.35401599999977,300,0
35,GDP,8,1,1,1,7,3.1097538975032,1.83797670000013,1,0
35,GDP,9,0,0,1,4,4.56721349999998,0.787146399999983,0.5,0
35,Calories,10,0,0,1,5,2.02162696662253,2.25453419999985,300,0
35,Calories,11,1,1,1,7,1.95757652338989,0.872625999999855,200,0
35,Calories,12,0,0,1,NaN,3.18399805676745,NaN,200,0
35,Calories,13,1,0,0,6,2.25541135676758,1.27130570000008,300,0
35,GDP,14,0,0,1,7,2.02781685676791,0.875922299999729,0.5,0
35,Calories,15,0,0,1,4,2.25201023915861,1.28759649999984,300,0
35,GDP,16,0,1,0,4,2.22405509999999,0.922172900000078,1,0
35,GDP,17,1,1,1,7,2.2154787999998,1.13923429999977,1,0
35,Calories,18,0,0,1,6,2.15637635059102,1.15601900000001,200,0
35,Calories,19,1,1,1,7,1.36986413823888,1.52122520000012,200,0
35,Calories,20,1,1,1,5,1.67338050354829,1.30634430000009,100,1
35,GDP,21,1,0,0,3,2.38478992706951,1.05670060000011,1.5,0
35,Calories,22,1,0,0,7,2.986996596057,1.00484170000072,200,0
35,GDP,23,0,0,1,5,1.97010311353552,1.1057423000002,1.5,0
35,GDP,24,0,1,0,2,2.24247820367964,1.20845730000019,2,0
35,GDP,25,1,1,1,4,2.15475539999989,1.28976260000036,2,0
35,Calories,26,1,1,1,6,1.94531700367952,1.47276000000056,200,0
35,GDP,27,1,1,1,2,3.4378715999992,1.63824029999978,1.5,0
35,Calories,28,0,1,0,2,2.86403129999962,1.08972610000001,300,0
35,Calories,29,0,1,0,1,2.58160539999972,1.25334579999981,400,0
35,GDP,30,0,0,1,4,2.24641629999951,0.854263199999878,1.5,0
35,GDP,31,1,1,1,4,2.44045740000001,1.1560643999992,1,0
35,GDP,32,0,0,1,2,1.46345701353493,0.987670199999229,1,0
35,Calories,33,0,1,0,5,1.78907530000015,1.3222366,500,0
35,Calories,34,1,1,1,7,1.56015230000048,1.10474550000072,500,0
35,Calories,35,1,0,0,5,1.78642149999996,2.18920209999942,500,0
35,Calories,36,0,0,1,7,1.92604010223386,1.19096059999993,500,0
35,Calories,37,0,0,1,7,1.42285283574256,1.05512590000035,400,0
35,Calories,38,0,0,1,7,1.74689724559812,1.05531770000016,400,0
35,GDP,39,1,1,1,4,2.47692540000025,0.989365700000235,0.5,0
35,Calories,40,1,1,1,3,2.26097990000017,2.90709700000025,300,0
35,Calories,41,0,0,1,3,3.26773080000021,1.35480550000011,300,0
35,GDP,42,0,0,1,7,0.963359149277494,0.75751659999969,0.5,0
35,Calories,43,1,1,1,7,1.07080922325895,0.82084549999945,200,0
35,Calories,44,1,1,1,7,1.26034609973703,1.48860709999917,200,0
35,Calories,45,0,0,1,7,3.0451403775287,2.80447639999966,100,0
35,Calories,46,0,1,0,5,2.58946664914583,1.62057809999988,200,0
35,Calories,47,0,1,0,5,2.55004629999985,0.88818960000026,300,0
35,Calories,48,1,0,0,2,2.02992070000073,1.43804730000011,400,0
35,Calories,49,1,1,1,7,2.89190914927713,1.1887243000001,400,0
35,Calories,50,1,1,1,7,1.3058732999998,2.10627449999993,300,0
35,GDP,51,1,0,0,5,1.27022209999996,1.15855809999994,1,1
35,GDP,52,0,0,1,4,1.63829979999991,1.57299059999968,1,1
35,Calories,53,0,1,0,6,2.51203780000014,1.77153280000039,350,0
35,GDP,54,1,1,1,3,2.78745900000013,1.13961230000041,0.5,0
35,GDP,55,1,0,0,5,2.87733680000019,1.1370538000001,1,0
35,GDP,56,1,1,1,3,1.68236079999951,1.42060469999979,1,1
35,Calories,57,0,0,1,4,1.94216297148523,1.23933950000082,350,0
